Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"""거기 작은 아이야 . 나 좀 도와줄래?""

보따리를 잔뜩 등에 이고 있는 양 상인이 당신에게 말을 겁니다. 

""여기 온 김에 쌩쌩한 말 한 마리를 사려고 하는데, 어느 말을 골라야 잘 골랐다고 소문이 날까? 저기 빨간 말은 덩치는 커서 힘은 세지만 체력이 약해보이고, 파란 말은 체력은 좋지만 힘은 부족해보여. 녹색 말은…외모가 특이해서 눈길이 가지만 썩 건강해 보이지는 않네. 네가 보기에는 뭐가 더 좋은 것 같아?""",,,
P1,BRANCH,빨간 말,P_RED,"UpStatus(Courage ,1)",
P1,BRANCH,파란 말,P_BLUE,"UpStatus(Wisdom ,1)",
P1,BRANCH,초록 말,P_GREEN,"UpStatus(Luck ,1)",
P_RED,DESC,"""그렇군. 빨간 말을 사야겠어. 고마워!""
양 상인은 기쁜 웃음을 짓습니다.

""보답으로 너에게 도움이 될만한 걸 줄게. 물론 공짜는 아니지만 말이야.""


",,,
P_RED,BRANCH,상점을 이용한다,P2,meetMerchant(),
P_RED,BRANCH,도움을 거절한다,P2,,
P_BLUE,DESC,"""그렇군. 파란 말을 사야겠어. 고마워!""
양 상인은 기쁜 웃음을 짓습니다.

""보답으로 너에게 도움이 될만한 걸 줄게. 물론 공짜는 아니지만 말이야.""


",,,
P_BLUE,BRANCH,상점을 이용한다,P2,meetMerchant(),
P_BLUE,BRANCH,도움을 거절한다,P2,,
P_GREEN,DESC,"""그렇군. 녹색 말을 사야겠어. 고마워!""
양 상인은 기쁜 웃음을 짓습니다.

""보답으로 너에게 도움이 될만한 걸 줄게. 물론 공짜는 아니지만 말이야.""


",,,
P_GREEN,BRANCH,상점을 이용한다,P2,meetMerchant(),
P_GREEN,BRANCH,도움을 거절한다,P2,,
P2,DESC,"""그래, 그럼 다음에 또 보자구.""
양은 당신에게 인사를 건네고 갈 길을 떠납니다.

당신도 다음 목적지로 향합니다.
",,,
P2,BRANCH,떠난다,END,,
