Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"놀이공원에 왔는데 롤러코스터를 지나칠 수 없죠! 당신은 오랜 기다림 끝에 롤러코스터에 탑승합니다. 롤러코스터가 출발하고, 기분 좋은 바람이 당신을 스칩니다.
그런데 잠깐, 이 롤러코스터 속도가 끝을 모르고 빨라지는군요!",,,
P1,BRANCH,다음,P2,,
P2,DESC,"옆에 탄 관람객이 당신에게 속삭입니다.
""놀라지 말라고. 아직 빛의 속도에 도달하려면 한참 멀었으니까!""
맙소사, 빛의 속도라니요? 그러나 관람객의 말이 거짓이 아니라는 듯이 속도는 점점 빨라지고 몇몇 관람객들은 몸에 불이 붙은 채로 즐겁게 웃기 시작합니다. 이대로라면 정말로 빛의 속도에 도달해도 이상하지 않을 것만 같군요!",,,
P2,BRANCH,그건 불가능해   (지혜 >4),R,"StartRoullete(Wisdom, 4, upper,P2_S,P2_GS,P2_F) ",
P2,BRANCH,더 빠르게!   (용기 >4),R,"StartRoullete(Courage, 4, upper,P3_S,P3_GS,P3_F) ",
P2_S,DESC,"당신은 알고 있는 물리학 지식을 생각합니다. 롤러코스터가 아무리 빨라져도 빛의 속도만큼 빨라지는 게 가능할까요?
의문을 떠올린 순간, 롤러코스터의 속도가 느려지더니 마침내 멈춰버립니다. 

""역시 짜릿해!""
""한 번 더! 한 번 더!""
관람객들은 아쉬운 듯이 연호합니다. 당신은 이 기묘한 롤러코스터가 다시 출발하기 전에 서둘러 자리를 떠납니다.
",,,
P2_S,BRANCH,떠난다,END,,
P2_GS,DESC,"당신은 알고 있는 물리학 지식을 생각합니다. 그리고 제아무리 빠른 물체도 빛의 속도에 도달하는 것은 불가능하다는 것을 어렵지 않게 떠올려냈습니다. 
그걸 깨달은 순간, 롤러코스터의 속도가 느려지더니 마침내 멈춰버립니다. 

""역시 짜릿해!""
""한 번 더! 한 번 더!""
관람객들은 아쉬운 듯이 연호합니다. 당신은 이 기묘한 롤러코스터가 다시 출발하기 전에 서둘러 자리를 떠납니다.
",,,
P2_GS,BRANCH,떠난다,END,"UpStatus(Wisdom,1)",
P2_F,DESC,"당신은 롤러코스터가 빛의 속도만큼 빨라질 수 있는지를 곰곰히 생각해봅니다. 그런 이야기를 들어본 적은 없지만 딱히 불가능한 이유를 떠올리지는 못했습니다. 어쩌면 빛의 속도만큼 빠를 롤러코스터가 세상 어딘가에 있을 수도 있죠!

결국 롤러코스터는 빛의 속도에 도달해버렸습니다. 

""역시 짜릿해!""
""한 번 더! 한 번 더!""
관람객들은 아쉬운 듯이 연호합니다. 당신은 이 기묘한 롤러코스터가 다시 출발하기 전에 서둘러 자리를 떠납니다.
",,,
P2_F,BRANCH,다음,P2_F2,,
P2_F2,DESC,"당신 주위의 모든 시간이 느려진 것만 같습니다. 하늘의 모든 별들이 심장을 멈춘 것처럼 보입니다. 우주의 모든 새들이 지저귐을 그만둔 것처럼 고요합니다. 

세계의 모든 꿈들이 당신을 지켜보는 것만 같은 느낌에 당신은 오싹함을 느낍니다.

셀 수 없는 시간이 흐른 뒤 당신은 어느새 롤러코스터가 출발했던 자리로 돌아와 멈춘 것을 알아차립니다. 이미 다른 관람객들은 사라진 후입니다. 

당신은 기묘한 기분을 느끼며 자리를 떠납니다.",,,
P2_F2,BRANCH,떠난다,END,,
P3_S,DESC,"당신은 정말 롤러코스터가 빛의 속도만큼 빨라질 수 있다면 어떤 일이 생길까 호기심을 가지며 기대합니다! 그러나 당신의 기대가 무색하게도, 롤러코스터가 그정도로 빨라질 수는 없죠. 그래도 적당히 빠른 롤러코스터 덕에 오랜만에 신나는 기분을 만끽합니다. 어딘가 홀가분해진 느낌이군요!",,,
P3_S,BRANCH,가벼운 마음으로 자리를 떠난다,END,Heal(5),
P3_GS,DESC,당신은 정말 롤러코스터가 빛의 속도만큼 빨라질 수 있다면 어떤 일이 생길까 호기심을 가지며 기대합니다. 그리고 놀랍게도…! 끝을 모르고 빨라지던 롤러코스터는 정말 빛의 속도에 도달해버렸습니다…!,,,
P3_GS,BRANCH,다음,P3_GS2,,
P3_GS2,DESC,"당신 주위의 모든 시간이 느려진 것만 같습니다. 하늘의 모든 별들이 심장을 멈춘 것처럼 보입니다. 우주의 모든 새들이 지저귐을 그만둔 것처럼 고요합니다. 

세계의 모든 꿈들이 당신을 지켜보는 것만 같은 느낌에 당신은 황홀함을 느낍니다.

셀 수 없는 시간이 흐른 뒤 당신은 어느새 롤러코스터가 출발했던 자리로 돌아와 멈춘 것을 알아차립니다. 이미 다른 관람객들은 사라진 후입니다. 

당신은 기묘한 기분을 느끼며 자리를 떠납니다.",,,
P3_GS2,BRANCH,떠난다,END,GetObjet(EventHorizon),
P3_F,DESC,"당신은 정말 롤러코스터가 빛의 속도만큼 빨라질 수 있다면 어떤 일이 생길까 호기심을 가지며 기대합니다! 그러나 당신의 기대가 무색하게도, 롤러코스터가 그정도로 빨라질 수는 없었습니다. 그래도 롤러코스터의 속도가 당신을 기진맥진하게 만들기에는 충분히 스릴있었던 것 같군요.

당신은 평소보다 무겁게 느껴지는 몸을 이끌고 다음 장소로 발걸음을 옮깁니다",,,
P3_F,BRANCH,떠난다,END,"LoseHP(5, per)",
