Page_ID,Type,Text_Content,Next_Page_ID,Call_Function,Constraint
P1,DESC,"순찰 중이던 로봇 직원들이 당신을 발견하고 다가옵니다. 그리고 이렇게 물어보네요.

""손님은 지금 어떤 기분이십니까-""

지지가 당신에게 빠르게 속삭입니다. 
""앨리스, 절대 슬프거나 괴로운 티를 내서는 안 돼.""",,,
P1,BRANCH,행복하다,P_Happy,,
P1,BRANCH,슬프다,P_Sad,,
P1,BRANCH,당신과 같다,P_Same,,HasObjet(영원한 웃음)
P_Happy,DESC,"그 말을 들은 로봇이 당신의 정강이를 걷어찹니다. 퍽-소리가 나고 약간의 통증이 느껴지는 것도 같습니다만 크게 괴로운 정도는 아니군요. 로봇이 당신의 얼굴을 유심히 들여다보다가 이런 말을 남기고 떠납니다.

""언제나 즐거운 시간 되시길 바랍니다.""

분명 좋은 말인데 묘하게 오싹한 느낌이 드는 이유는 왜일까요. 정확히는 모르겠지만 여정을 계속하다 보면 알 수 있게 될지도요.

",,LoseHP(5),
P_Happy,BRANCH,떠난다,END,,
P_Sad,DESC,"대답을 들은 로봇의 눈이 붉게 물듭니다. 아무래도 당신을 순순히 보내주지는 않을 것 같군요. 

",,,
P_Sad,BRANCH,맞서 싸운다 (전투),P_AFTER_BATTLE,StartBattle(StaffRobot),
P_AFTER_BATTLE,DESC,"당신이 로봇을 제압하자 로봇은 고장난 듯이 자리를 맴돌며 같은 문장만을 반복하기 시작합니다.

""언제나 즐거운 시간 되시길 바랍니다.""
""언제나 즐거운 시간 되시길 바랍니다.""
""언제나 즐거운 시간 되시길 바랍니다.""

분명 좋은 말인데 묘하게 오싹한 느낌이 드는 이유는 왜일까요. 정확히는 모르겠지만 여정을 계속하다 보면 알 수 있게 될지도요.


",,,
P_AFTER_BATTLE,BRANCH,떠난다,END,,
P_Same,DESC,"대답을 들은 로봇의 눈이 파란 빛으로 물듭니다. 그리고는 자신이 가지고 있던 동전을 전부 꺼내어 당신에게 선물해주네요.

""언제나 즐거운 시간 되시길--수 있게 해주셔서 감사합니다.""

의미불명의 말을 마지막으로 로봇은 자리를 떠납니다. 로봇은 무슨 말을 하려고 했던 것일까요. 여정을 계속하다 보면 알 수 있게 될까요?
",,,
P_Same,BRANCH,떠난다,END,GetDebris(2),
,,,,,
,,,,,
,,,,,
,,,,,
